year,Africa,Asia,Europe,North America,Russia,South America
1980,0,96.795,310.425,302.364,0,2.34
1981,0,104.019,406.824,327.092,0,2.816
1982,0,121.651,452.663,335.993,0,1.87
1983,0,145.51,527.154,357.744,0,3.405
1984,3.925,175.016,672.256,397.087,0,6.284
1985,5.315,215.215,794.839,464.406,99.317,9.147
1986,8.803,228.921,844.06,507.097,105.221,5.855
1987,6.167,271.004,893.631,556.493,124.702,7.438
1988,10.493,255.733,981.042,637.576,134.814,6.406
1989,11.099,266.975,1023.163,636.904,136.338,6.869
1990,8.449,287.138,1012.871,682.62,118.325,9.518
1991,9.144,306.667,1037.914,733.386,119.984,9.198
1992,9.288,314.83,1043.98,735.285,119.626,8.84
1993,7.255,348.876,1080.014,740.627,119.186,8.192
1994,9.697,372.439,1050.083,785.47,97.82,8.29
1995,11.301,410.585,1076.607,814.452,99.532,9.585
1996,11.775,433.692,1141.021,810.241,109.026,9.886
1997,12.647,461.36,1150.786,754.141,108.498,11.13
1998,13.601,480.071,1137.388,789.418,103.719,10.718
1999,12.837,488.14,1162.08,849.565,121.874,11.083
2000,13.01,495.87,1171.26,830.86,122.46,10.93
2001,10.72,502.89,1207.33,849.98,125.36,20.81
2002,11.99,515.33,1229.55,861.07,134.14,19.23
2003,12.66,457.27,1245.94,844.86,141.17,20.43
2004,14.28,525.4,1259.91,883.13,137.47,18.91
2005,12.24,546.33,1247.44,879.14,137.64,15.57
2006,10.07,562.78,1252.58,890.06,144.65,20.13
2007,12.6,540.77,1203.72,904.56,147.99,18.37
2008,12.75,524.46,1206.82,903.87,152.06,20.06
2009,11.57,549.14,1157.41,894.09,152.78,19.81
2010,12.9,578.54,1191.51,898.16,159.41,20.46
2011,12.94,478.54,1185.73,888.15,162.02,20.69
2012,12.4,342.26,1164.23,867.23,166.29,21.07
2013,13.61,344.34,1147.42,897.98,161.38,20.38
2014,14.76,370.39,1161.34,907.68,169.07,19.72
2015,10.97,418.24,1150.56,904.41,182.81,20.55
2016,15.21,468.72,1125.83,911.65,184.05,22.79
2017,15.09,495.79,1125.82,911.09,190.12,20.63
2018,10.56,556,1118.67,915.43,181.76,21.3
2019,13.6,648.01,1126.48,915.76,195.54,23.13
2020,11.62,657.98,1050.09,893.4,215.74,23.27
2021,12.15,722.63,1111.48,878.44,222.44,24.87
2022,10.1,767.377,969.87,909.636,223.41,22.028
