Año,Country,Mwe
2024,Bangladesh,1200
2024,"China, CNNC",600
2024,"China, Guodian & CNNC",1212
2024,"China, SPIC & Huaneng",1500
2024,"France, EDF",1650
2024,"India, NPCIL",500
2024,"Korea, KHNP",1400
2024,"Slovakia, SE",471
2025,Bangladesh,1200
2025,"China, CGN",1200
2025,"China, Guodian & CNNC",1212
2025,"China, SPIC & Huaneng",1500
2025,"India, NPCIL",1000
2025,"India, NPCIL",1000
2025,"Korea, KHNP",1400
2025,"Russia, Rosenergoatom",1255
2025,"Russia, Rosenergoatom",1255
2025,Turkey,1200
2026,"China, CGN",1150
2026,"China, CGN",1202
2026,"China, CNNC",125
2026,"China, CNNC",1200
2026,"China, CNNC",600
2026,"China, Huaneng & CNNC",1200
2026,"India, NPCIL",700
2026,"India, NPCIL",700
2026,"Russia, Rosatom",300
2026,Turkey,1200
2027,"Argentina, CNEA",29
2027,"China, CGN",1150
2027,"China, CNNC",1250
2027,"China, CNNC",1200
2027,"China, CNNC & Datang",1200
2027,"China, Huaneng & CNNC",1200
2027,"China, SPIC",1250
2027,"China, SPIC",1250
2027,"India, NPCIL",1000
2027,"India, NPCIL",1000
2027,Turkey,1200
2028,Iran,1057
2028,"China, CGN",1200
2028,"China, CNNC",1250
2028,"China, CNNC & Datang",1200
2028,"China, CNNC & Datang",1250
2028,"China, SPIC",1250
2028,"Egypt, NPPA",1200
2028,Turkey,1200
2029,"China, CGN",1200
2029,"China, Guodian & CNNC",1212
2029,"UK, EDF",1720
2030,"Egypt, NPPA",1200
2030,"Egypt, NPPA",1200
2030,"Egypt, NPPA",1200
2030,"Russia, Rosatom",1200
2030,"UK, EDF",1720
